,0,1
0,0.059554003179073334,
1,-1.3060147762298584,
2,-2.730067253112793,
3,-3.4039371013641357,
4,-3.590446949005127,
5,-3.988644599914551,
6,-1.80996835231781,
7,-5.906214714050293,
8,0.313812255859375,
9,1.4889682531356812,
10,-14.182458877563477,
11,-7.367823123931885,
12,-10.600580215454102,
13,-7.184326648712158,
14,-13.465478897094727,
15,-39.884212493896484,
16,-39.64249801635742,
17,-32.899295806884766,
18,-30.10447120666504,
19,-38.20378112792969,
20,-35.37149429321289,
21,-27.41828155517578,
22,-34.70920181274414,
23,-52.26104736328125,
24,-26.915910720825195,
25,-21.991819381713867,
26,-19.867908477783203,
27,-0.7951126098632812,
28,-32.38377380371094,
29,-24.542598724365234,
30,0.0,0.0
