,0
0,20.088258266448975
1,14.90034532546997
2,15.29952073097229
3,15.76923418045044
4,14.908246040344238
5,15.261956691741943
6,15.749766826629639
7,14.924176931381226
8,15.279599666595459
9,15.760478973388672
10,14.904783010482788
11,15.2678861618042
12,15.746832847595215
13,14.903110980987549
14,15.269028425216675
15,15.792222261428833
16,14.913863897323608
17,15.25806188583374
18,15.758371591567993
19,14.90397334098816
20,15.25031042098999
21,15.740277528762817
22,14.85477066040039
23,15.280516386032104
24,15.809706449508667
25,14.888115644454956
26,15.244920253753662
27,15.765085697174072
28,14.886922359466553
29,15.247376441955566
30,15.713189125061035
31,14.878607749938965
32,15.253032922744751
33,15.717520713806152
34,14.898744106292725
35,15.261207818984985
36,15.740654468536377
37,14.88478970527649
38,15.269062042236328
39,15.749239206314087
40,14.874905824661255
41,14.96766209602356
42,15.741146802902222
43,14.87977385520935
44,14.876720905303955
45,15.72634243965149
46,14.840174436569214
47,14.90828800201416
48,15.727065324783325
49,14.842533111572266
50,14.84330677986145
51,15.749698162078857
52,14.879724979400635
53,14.90738558769226
54,15.757126092910767
55,14.898430824279785
56,14.897110223770142
57,15.733271837234497
58,14.889938592910767
59,14.931371688842773
60,15.768442392349243
61,14.962898015975952
62,14.938209772109985
63,15.787612199783325
64,14.889906644821167
65,14.945483922958374
66,15.76441764831543
67,14.937180042266846
68,14.892645835876465
69,15.762746334075928
70,14.906513452529907
71,14.894905805587769
72,15.747645616531372
73,14.908955097198486
74,14.936091184616089
75,15.743699073791504
76,14.904712677001953
77,14.913857221603394
78,15.768791675567627
79,14.928184509277344
80,0.0
