,0,1
0,-2.3084221822955442e-07,-12.856937408447266
1,-12.415157318115234,
2,-12.435461044311523,
3,-20.72629737854004,
4,-27.07734489440918,
5,-26.697025299072266,
6,-26.043838500976562,
7,-19.540998458862305,
8,-22.396930694580078,
9,-30.037921905517578,
10,-32.612152099609375,
11,-31.968645095825195,
12,-27.754928588867188,
13,-29.826683044433594,
14,-14.910209655761719,
15,-31.148529052734375,
16,-29.466453552246094,
17,-29.461841583251953,
18,-21.76352882385254,
19,-24.968690872192383,
20,-25.319705963134766,
21,-23.817764282226562,
22,-16.21329689025879,
23,-24.418251037597656,
24,-24.256214141845703,
25,-14.56143856048584,
26,-15.949808120727539,
27,-19.9382381439209,
28,-21.654489517211914,
29,-24.242164611816406,
30,0.0,0.0
