,0,1
0,0.286014199256897,-1.2555739879608154
1,-2.246323823928833,
2,-5.904910087585449,
3,-2.226161241531372,
4,7.033632278442383,
5,16.02181625366211,
6,19.677228927612305,
7,19.759990692138672,
8,21.934003829956055,
9,22.066455841064453,
10,23.18779182434082,
11,23.78586769104004,
12,24.323923110961914,
13,24.64051628112793,
14,25.326889038085938,
15,25.788623809814453,
16,26.13389015197754,
17,26.72332763671875,
18,27.232955932617188,
19,27.697864532470703,
20,28.13860511779785,
21,28.595643997192383,
22,29.003793716430664,
23,29.466712951660156,
24,29.948570251464844,
25,30.340190887451172,
26,30.81938934326172,
27,31.264087677001953,
28,31.63808250427246,
29,32.14167785644531,
30,0.0,0.0
