,0,1
0,-8.590706102040713e-08,-1.5544926554866834e-06
1,-22.11725616455078,-747.8662109375
2,-45.62589645385742,-1650.76318359375
3,-89.52421569824219,-2699.47119140625
4,-97.51976776123047,-3980.77392578125
5,-159.19869995117188,-5213.755859375
6,-161.39414978027344,-6821.8447265625
7,-227.6343994140625,-8336.8369140625
8,-221.70333862304688,-10153.451171875
9,-278.8212585449219,-11779.962890625
10,-243.51950073242188,-13815.705078125
11,-368.0579833984375,-15486.783203125
12,-316.03857421875,-17655.265625
13,-363.6427001953125,-19853.970703125
14,-406.861083984375,-21577.48828125
15,-387.4670104980469,-24004.09765625
16,-439.8624267578125,-26129.998046875
17,-544.5397338867188,-27681.083984375
18,-521.0836181640625,-29865.39453125
19,-642.1358642578125,-31508.505859375
20,-558.87451171875,-34047.03125
21,-627.1304931640625,-35791.5625
22,-678.0240478515625,-37720.4609375
23,-663.2744140625,-40017.453125
24,-740.30859375,-41776.0
25,-625.20458984375,-44942.6953125
26,-634.852294921875,-47099.1875
27,-729.1278076171875,-48319.60546875
28,-965.1547241210938,-49231.0703125
29,-833.29736328125,-52391.1015625
30,0.0,0.0
