,0
0,76.95680522918701
1,78.28641390800476
2,77.98275709152222
3,66.79410529136658
4,66.66371655464172
5,66.94098615646362
6,66.89355301856995
7,66.77071571350098
8,66.77593493461609
9,66.74652290344238
10,66.91408252716064
11,66.89195013046265
12,77.98158431053162
13,66.77240347862244
14,66.79758429527283
15,66.92896509170532
16,66.74717664718628
17,66.7276017665863
18,66.74762606620789
19,66.76487851142883
20,66.96769452095032
21,66.90333271026611
22,66.80072927474976
23,66.79057765007019
24,66.77126097679138
25,66.97402572631836
26,66.86370348930359
27,66.80760288238525
28,66.76816248893738
29,66.81718420982361
30,0.0
