,0
0,57.08490610122681
1,57.61053776741028
2,57.62560701370239
3,57.61957049369812
4,57.62049078941345
5,46.26654410362244
6,46.26283884048462
7,46.26866936683655
8,46.27609086036682
9,46.26648926734924
10,46.27294063568115
11,46.286229610443115
12,46.30073165893555
13,46.31215858459473
14,46.2986421585083
15,46.32889223098755
16,46.32274508476257
17,46.33682870864868
18,46.3089759349823
19,46.29992985725403
20,46.313957929611206
21,46.318525552749634
22,46.30314779281616
23,46.32282781600952
24,46.30296492576599
25,46.30296182632446
26,46.30659890174866
27,46.309099435806274
28,46.29429793357849
29,46.31682252883911
30,0.0
