,0,1,2,3,4
0,-31288699.073252793,-53776944.28398001,-35717404.817835435,-27704618.387544245,-35890561.41249523
1,-25995275.244441643,-47379315.71461658,-28365663.919080757,-21742499.38848582,-29202228.241782367
2,-15021805.307668692,-32950691.191363417,-11907138.189919088,-19968041.395863,-24492671.74487181
3,-17155630.017077807,-33311489.96922425,-16346359.380264118,-7612455.921460601,-25483833.003245935
4,-25043993.787663933,-37864119.10001111,-23305848.11940942,-21547500.782767,-18460224.757496186
5,-22529198.16107273,-50649940.54645179,-28752792.95163191,-24539465.253308237,-34140396.10064034
6,-24277203.177868936,-45213740.946652785,-24380072.046677552,-12463923.849183455,-26605058.521369383
7,-13899954.825063556,-42177522.111558646,-13043546.851794068,-1938568.3878950041,-19308290.054138754
8,-5217517.820065947,-19895844.11348272,-4126979.0350563303,-5833473.764957457,-2236829.5852914103
