,0
0,18.72032403945923
1,18.698683500289917
2,13.518351793289185
3,13.499283790588379
4,13.500311851501465
5,13.48676085472107
6,18.692134618759155
7,13.4696524143219
8,13.470132112503052
9,13.476753234863281
10,13.477152109146118
11,13.485196113586426
12,13.484004974365234
13,13.48643445968628
14,13.462077379226685
15,13.475458860397339
16,13.45710825920105
17,13.511518716812134
18,13.496431112289429
19,13.50493836402893
20,13.485282897949219
21,13.492037296295166
22,13.47921347618103
23,13.456296443939209
24,13.469271659851074
25,13.463229417800903
26,13.464196681976318
27,13.450955629348755
28,13.479361295700073
29,13.451905727386475
30,13.44219708442688
31,13.458725929260254
32,13.445122957229614
33,13.400381326675415
34,13.465003490447998
35,13.455989837646484
36,13.441604852676392
37,13.454582929611206
38,13.452481269836426
39,13.468656301498413
40,13.45350980758667
41,13.448869466781616
42,13.457321882247925
43,13.44126009941101
44,13.45927357673645
45,13.458541870117188
46,13.444871187210083
47,13.45778775215149
48,0.0
