,0,1
0,-0.20222780108451843,-0.11565632373094559
1,-3.562021017074585,-7.672526836395264
2,-17.403640747070312,-33.105018615722656
3,-54.16968536376953,-95.45358276367188
4,-127.29295349121094,-215.4324951171875
5,-191.1611328125,-397.0892639160156
6,-343.66680908203125,-761.6300048828125
7,-668.2196044921875,-1716.752197265625
8,-1152.4267578125,-3637.66650390625
9,-1894.8985595703125,-7099.2470703125
10,-2747.248291015625,-12483.1962890625
11,-4059.34912109375,-21344.82421875
12,-4221.8515625,-32054.4375
13,-6141.4736328125,-44042.29296875
14,-6570.7685546875,-65275.1953125
15,-9839.6611328125,-94976.46875
16,-15398.232421875,-113597.3046875
17,-18689.3203125,-183049.203125
18,-24230.447265625,-238522.515625
19,-30360.1640625,-273694.75
20,-39393.875,-321758.59375
21,-48450.5859375,-396475.0625
22,-56524.1484375,-466100.1875
23,-86720.734375,-627680.75
24,-105427.875,-670573.25
25,-101511.6484375,-654585.9375
26,-131160.65625,-977218.875
27,-197014.59375,-1348819.75
28,-175909.25,-1474377.75
29,-221526.96875,-1684481.125
30,0.0,0.0
