,0,1
0,0.2833797335624695,-0.9114855527877808
1,-2.6482107639312744,
2,-6.408278465270996,
3,-1.483741283416748,
4,11.643026351928711,
5,20.10318374633789,
6,22.2531681060791,
7,23.858531951904297,
8,25.240930557250977,
9,25.526039123535156,
10,26.562931060791016,
11,26.97941780090332,
12,27.615991592407227,
13,28.112998962402344,
14,28.535289764404297,
15,29.081729888916016,
16,29.53839683532715,
17,29.93281364440918,
18,30.458606719970703,
19,30.884862899780273,
20,31.352460861206055,
21,31.796165466308594,
22,32.24701690673828,
23,32.68877410888672,
24,33.14763641357422,
25,33.58000946044922,
26,34.01509094238281,
27,34.42328643798828,
28,34.86827087402344,
29,35.30928039550781,
30,0.0,0.0
