,0
0,30.952947854995728
1,31.18348002433777
2,24.506884574890137
3,24.506200313568115
4,24.460674047470093
5,24.376813888549805
6,24.482205390930176
7,24.568222999572754
8,24.528245210647583
9,24.570284128189087
10,24.462632656097412
11,24.278562784194946
12,24.439366579055786
13,24.384639501571655
14,24.41931653022766
15,24.446455001831055
16,24.41256809234619
17,24.582798957824707
18,24.470616102218628
19,24.380357265472412
20,24.362150192260742
21,24.529386520385742
22,24.530333042144775
23,24.46277356147766
24,24.305042028427124
25,24.426549434661865
26,24.381773948669434
27,24.379070281982422
28,24.06189489364624
29,24.06270933151245
30,0.0
